,names,lat,long,Map Altitude,Set Altitude
159,R_X159,42.33774823023100,71.08651530070730,2.93,4.575
160,R_X160,42.337747037126000,71.08651347450610,2.92,4.565
161,R_X161,42.33774584402100,71.08651164830480,2.92,4.565
162,R_X162,42.337744650916100,71.08650982210360,2.91,4.555
163,R_X163,42.33774345781110,71.0865079959024,2.91,4.555
164,R_X164,42.337742264706100,71.08650616970120,2.90,4.55
165,R_X165,42.33774107160110,71.08650434350000,2.90,4.55
166,R_X166,42.337739878496200,71.08650251729870,2.90,4.55
167,R_X167,42.33773868539120,71.08650069109750,2.99,4.635
168,R_X168,42.33773749228620,71.0864988648963,2.99,4.635
169,R_X169,42.33773629918120,71.08649703869510,2.88,4.525
170,R_X170,42.33773510607630,71.08649521249390,2.88,4.525
171,R_X171,42.33773391297130,71.08649338629260,2.88,4.525
172,R_X172,42.33773271986630,71.08649156009140,2.88,4.525
173,R_X173,42.33773152676130,71.0864897338902,2.88,4.525
174,R_X174,42.33773033365640,71.08648790768900,2.87,4.515
175,R_X175,42.33772914055140,71.08648608148780,2.87,4.515
176,R_X176,42.33772794744640,71.08648425528660,2.87,4.515
177,R_X177,42.33772675434140,71.08648242908530,2.87,4.515
178,R_X178,42.33772556123650,71.08648060288410,2.86,4.505
179,R_X179,42.33772436813150,71.0864787766829,2.86,4.505
180,R_X180,42.33772317502650,71.08647695048170,2.86,4.505
181,R_X181,42.33772198192150,71.08647512428050,2.86,4.505
182,R_X182,42.337720788816600,71.08647329807920,2.86,4.505
183,R_X183,42.33771959571160,71.08647147187800,2.86,4.505
184,R_X184,42.337718402606600,71.0864696456768,2.85,4.495
185,R_X185,42.33771720950160,71.08646781947560,2.85,4.495
186,R_X186,42.337716016396700,71.08646599327440,2.85,4.495
187,R_X187,42.337714823291700,71.08646416707320,2.85,4.495
188,R_X188,42.337713630186700,71.08646234087190,2.84,4.485
189,R_X189,42.33771243708170,71.0864605146707,2.84,4.485
190,R_X190,42.337711243976800,71.08645868846950,2.83,4.475
191,R_X191,42.33771005087180,71.08645686226830,2.83,4.475
192,R_X192,42.337708857766800,71.08645503606710,2.83,4.475
193,R_X193,42.33770766466180,71.08645320986580,2.83,4.475
194,R_X194,42.33770647155690,71.08645138366460,2.83,4.475
195,R_X195,42.33770527845190,71.0864495574634,2.82,4.465
196,R_X196,42.3377040853469,71.08644773126220,2.82,4.465
197,R_X197,42.33770289224190,71.08644590506100,2.82,4.465
198,R_X198,42.33770169913700,71.08644407885970,2.82,4.465
199,R_X199,42.33770050603200,71.08644225265850,2.81,4.455
200,R_X200,42.337699312927,71.0864404264573,2.81,4.455
