,names,lat,long,Map Altitude,Set Altitude
40,R_X40,42.337906725917100,71.0867140243375,3.30,4.95
41,R_X41,42.337905529971100,71.0867122059671,3.30,4.95
42,R_X42,42.337904334025100,71.08671038759670,3.30,4.95
43,R_X43,42.337903138079100,71.08670856922630,3.30,4.95
44,R_X44,42.337901942133000,71.08670675085590,3.30,4.95
45,R_X45,42.337900746187000,71.08670493248560,3.30,4.95
46,R_X46,42.337899550241000,71.08670311411520,3.30,4.95
47,R_X47,42.33789835429500,71.08670129574480,3.30,4.95
48,R_X48,42.33789715834900,71.08669947737440,3.30,4.95
49,R_X49,42.33789596240300,71.08669765900400,3.30,4.95
50,R_X50,42.33789476645690,71.0866958406336,3.30,4.95
51,R_X51,42.33789357051090,71.0866940222632,3.30,4.95
52,R_X52,42.3378923745649,71.08669220389280,3.30,4.95
53,R_X53,42.33789117861890,71.08669038552240,3.30,4.95
54,R_X54,42.33788998267290,71.08668856715200,3.30,4.95
55,R_X55,42.33788878672690,71.08668674878160,3.30,4.95
56,R_X56,42.33788759078080,71.08668493041130,3.30,4.95
57,R_X57,42.33788639483480,71.08668311204090,3.30,4.95
58,R_X58,42.3378851988888,71.08668129367050,3.30,4.95
59,R_X59,42.33788400294280,71.08667947530010,3.30,4.95
60,R_X60,42.33788280699680,71.0866776569297,3.30,4.95
61,R_X61,42.33788161105080,71.0866758385593,3.28,4.925
62,R_X62,42.33788041510470,71.08667402018890,3.28,4.925
63,R_X63,42.33787921915870,71.08667220181850,3.27,4.915
64,R_X64,42.33787802321270,71.08667038344810,3.27,4.915
65,R_X65,42.337876827266700,71.08666856507770,3.27,4.915
66,R_X66,42.33787563132070,71.08666674670740,3.27,4.915
67,R_X67,42.33787443537460,71.08666492833700,3.26,4.905
68,R_X68,42.337873239428600,71.08666310996660,3.26,4.905
69,R_X69,42.337872043482600,71.08666129159620,3.26,4.905
70,R_X70,42.337870847536600,71.0866594732258,3.25,4.895
71,R_X71,42.337869651590600,71.0866576548554,3.25,4.895
72,R_X72,42.33786845564460,71.08665583648500,3.25,4.895
73,R_X73,42.337867259698500,71.08665401811460,3.24,4.885
74,R_X74,42.337866063752500,71.08665219974420,3.24,4.885
75,R_X75,42.337864867806500,71.08665038137380,3.24,4.885
76,R_X76,42.33786367186050,71.08664856300350,3.23,4.875
77,R_X77,42.33786247591450,71.08664674463310,3.23,4.875
78,R_X78,42.33786127996840,71.08664492626270,3.23,4.875
79,R_X79,42.33786008402240,71.08664310789230,3.22,4.865
80,R_X80,42.33785888807640,71.08664128952190,3.22,4.865
81,R_X81,42.33785769213040,71.0866394711515,3.22,4.865
82,R_X82,42.33785649618440,71.08663765278110,3.21,4.855
83,R_X83,42.33785530023840,71.08663583441070,3.21,4.855
84,R_X84,42.33785410429230,71.08663401604030,3.21,4.855
85,R_X85,42.33785290834630,71.08663219766990,3.20,4.85
86,R_X86,42.3378517124003,71.08663037929960,3.20,4.85
87,R_X87,42.33785051645430,71.08662856092920,3.20,4.85
88,R_X88,42.33784932050830,71.08662674255880,3.19,4.835
89,R_X89,42.33784812456230,71.08662492418840,3.19,4.835
90,R_X90,42.33784692861620,71.08662310581800,3.19,4.835
91,R_X91,42.33784573267020,71.08662128744760,3.18,4.825
92,R_X92,42.3378445367242,71.08661946907720,3.18,4.825
93,R_X93,42.33784334077820,71.08661765070680,3.18,4.825
94,R_X94,42.337842144832200,71.08661583233640,3.17,4.815
95,R_X95,42.33784094888620,71.08661401396600,3.17,4.815
96,R_X96,42.33783975294010,71.08661219559570,3.17,4.815
97,R_X97,42.337838556994100,71.08661037722530,3.17,4.815
98,R_X98,42.337837361048100,71.08660855885490,3.17,4.815
99,R_X99,42.337836165102100,71.08660674048450,3.17,4.815
100,R_X100,42.337834969156100,71.08660492211410,3.17,4.815
101,R_X101,42.33783377321000,71.08660310374370,3.17,4.815
