Phi,Theta,Gain
0.000000000000000000e+00,3.060000000000000853e+01,1.412375000000000114e+01
0.000000000000000000e+00,3.240000000000000568e+01,1.415500000000000469e+01
0.000000000000000000e+00,3.420000000000000284e+01,1.347437500000000199e+01
0.000000000000000000e+00,3.600000000000000000e+01,1.315000000000000036e+01
0.000000000000000000e+00,3.779999999999999716e+01,1.342749999999999844e+01
0.000000000000000000e+00,3.959999999999999432e+01,1.321499999999999808e+01
0.000000000000000000e+00,4.140000000000000568e+01,1.304906250000000156e+01
0.000000000000000000e+00,4.320000000000001705e+01,1.277062499999999901e+01
0.000000000000000000e+00,4.500000000000000000e+01,1.249218750000000000e+01
0.000000000000000000e+00,4.680000000000001137e+01,1.221374999999999744e+01
0.000000000000000000e+00,4.859999999999999432e+01,1.171249999999999325e+01
0.000000000000000000e+00,5.040000000000000568e+01,1.086000000000000298e+01
0.000000000000000000e+00,5.220000000000001705e+01,1.114499999999999602e+01
0.000000000000000000e+00,5.400000000000000000e+01,1.064999999999999680e+01
0.000000000000000000e+00,5.580000000000001137e+01,1.020250000000000057e+01
0.000000000000000000e+00,5.759999999999999432e+01,1.004499999999999815e+01
0.000000000000000000e+00,5.940000000000000568e+01,1.029249999999999865e+01
0.000000000000000000e+00,6.120000000000001705e+01,1.007999999999999474e+01
0.000000000000000000e+00,6.300000000000000000e+01,7.668749999999992184e+00
0.000000000000000000e+00,6.480000000000001137e+01,6.325000000000003730e+00
0.000000000000000000e+00,6.659999999999999432e+01,4.908750000000022595e+00
0.000000000000000000e+00,6.840000000000000568e+01,2.309999999999997833e+00
0.000000000000000000e+00,7.020000000000001705e+01,-9.625000000000064060e-02
0.000000000000000000e+00,7.200000000000000000e+01,-9.625000000000023537e-01
0.000000000000000000e+00,7.380000000000001137e+01,-1.783750000000001501e+00
0.000000000000000000e+00,7.559999999999999432e+01,-2.120000000000000995e+00
0.000000000000000000e+00,7.740000000000000568e+01,-2.058124999999999982e+00
0.000000000000000000e+00,7.920000000000001705e+01,-1.887500000000000400e+00
0.000000000000000000e+00,8.100000000000000000e+01,-5.937500000000799777e-02
